latitude,longitude,address,floorSize,url,price
40.01534,-105.36872,387 Millionaire Dr E,1590,https://www.zillow.com/homedetails/387-Millionaire-Dr-E-Boulder-CO-80302/13194126_zpid/,725000
40.012093,-105.29264,350 Arapahoe Avenue  Unit 20,851,https://www.zillow.com/homedetails/350-Arapahoe-Ave-APT-20-Boulder-CO-80302/13215841_zpid/,239000
40.01054,-105.13178,1341 N 95th St,2104,https://www.zillow.com/homedetails/1341-N-95th-St-Lafayette-CO-80026/117593611_zpid/,2200000
40.07746,-105.36398,266 Glendale Gulch Rd,1277,https://www.zillow.com/homedetails/266-Glendale-Gulch-Rd-Jamestown-CO-80455/13191863_zpid/,550000
40.05329,-105.2698,2125 Upland Ave,3187,https://www.zillow.com/homedetails/2125-Upland-Ave-Boulder-CO-80304/13196303_zpid/,3950000
39.95928,-105.23298,1506 S Foothills Highway,2711,https://www.zillow.com/homedetails/1506-S-Foothills-Hwy-Boulder-CO-80305/13198850_zpid/,1100000
40.02039,-105.17138,2300 N 75th St,17602,https://www.zillow.com/homedetails/2300-75th-St-Boulder-CO-80301/13253284_zpid/,11700000
40.00266,-105.23093,851 Crescent Dr,1946,https://www.zillow.com/homedetails/851-Crescent-Dr-Boulder-CO-80303/13198955_zpid/,1095000
40.06189,-105.36941,6186 Sunshine Canyon Dr,2385,https://www.zillow.com/homedetails/6186-Sunshine-Canyon-Dr-Boulder-CO-80302/13214167_zpid/,850000
40.08502,-105.33552,279 Green Meadow Ln,2526,https://www.zillow.com/homedetails/279-Green-Meadow-Ln-Boulder-CO-80302/13196689_zpid/,1995000
40.02671,-105.37806,926 Mountain Meadows Rd,1871,https://www.zillow.com/homedetails/926-Mountain-Meadows-Rd-Boulder-CO-80302/13192800_zpid/,795000
40.05672,-105.2114,6107 Old Brompton Rd,3702,https://www.zillow.com/homedetails/6107-Old-Brompton-Rd-Boulder-CO-80301/13224309_zpid/,1480000
40.0238,-105.27744,1505 Sunset Blvd,7246,https://www.zillow.com/homedetails/1505-Sunset-Blvd-Boulder-CO-80304/13180906_zpid/,15000000
40.05038,-105.25794,2840 Jay Rd,973,https://www.zillow.com/homedetails/2840-Jay-Rd-Boulder-CO-80301/13195179_zpid/,800000
39.966503,-105.249306,3747 Telluride Circle,1668,https://www.zillow.com/homedetails/3747-Telluride-Cir-Boulder-CO-80305/13219199_zpid/,850000
40.02953,-105.25208,3003 Valmont Rd UNIT 37,500,https://www.zillow.com/homedetails/3003-Valmont-Rd-LOT-37-Boulder-CO-80301/13262956_zpid/,79900
40.069794,-105.30318,5251 Olde Stage Rd,3405,https://www.zillow.com/homedetails/5251-Olde-Stage-Rd-Boulder-CO-80302/13196312_zpid/,1575000
40.005337,-105.19178,1019 69th Street,3372,https://www.zillow.com/homedetails/1019-69th-St-Boulder-CO-80303/13197879_zpid/,1739500
40.010468,-105.26288,2510 Taft Dr UNIT 313,1164,https://www.zillow.com/homedetails/2510-Taft-Dr-APT-313-Boulder-CO-80302/61632986_zpid/,244430
39.992,-105.23337,4890 Ricara Dr,1540,https://www.zillow.com/homedetails/4890-Ricara-Dr-Boulder-CO-80303/13188991_zpid/,980000
40.0902,-105.30389,6357 Red Hill Rd,3618,https://www.zillow.com/homedetails/6357-Red-Hill-Rd-Boulder-CO-80302/13196861_zpid/,1050000
39.99829,-105.2273,577 Blackhawk Rd,2842,https://www.zillow.com/homedetails/577-Black-Hawk-Rd-Boulder-CO-80303/13189543_zpid/,925000
40.01944,-105.26888,2021 Walnut St,2205,https://www.zillow.com/homedetails/2021-Walnut-St-Boulder-CO-80302/13177200_zpid/,1895000
40.02706,-105.25593,2910 Bluff St UNIT 111,845,https://www.zillow.com/homedetails/2910-Bluff-St-APT-111-Boulder-CO-80301/72296433_zpid/,190980
39.9899,-105.23801,4490 Osage Dr,2424,https://www.zillow.com/homedetails/4490-Osage-Dr-Boulder-CO-80303/13188935_zpid/,1050000
40.07944,-105.34182,37 High View Ln,2955,https://www.zillow.com/homedetails/37-High-View-Ln-Boulder-CO-80302/13191840_zpid/,997000
40.044907,-105.34857,1133 Arroyo Chico Rd,2713,https://www.zillow.com/homedetails/1133-Arroyo-Chico-Boulder-CO-80302/13214125_zpid/,1575000
39.99322,-105.25102,75 S 36th St,2408,https://www.zillow.com/homedetails/75-S-36th-St-Boulder-CO-80305/13188377_zpid/,850000
40.06748,-105.30879,228 Lion Pt,5926,https://www.zillow.com/homedetails/228-Lion-Point-Boulder-CO-80302/157718648_zpid/,14750000
39.964077,-105.18675,7127 Marshall Drive,2593,https://www.zillow.com/homedetails/7127-Marshall-Dr-Boulder-CO-80303/157718782_zpid/,1100000
40.02243,-105.26634,2129 23rd St,2990,https://www.zillow.com/homedetails/2129-23rd-St-Boulder-CO-80302/13180682_zpid/,1850000
39.98663,-105.27132,1775 Deer Valley Rd,4558,https://www.zillow.com/homedetails/1775-Deer-Valley-Rd-Boulder-CO-80305/13178376_zpid/,8900000
40.03952,-105.27056,3584 Kirkwood Pl,4025,https://www.zillow.com/homedetails/3584-Kirkwood-Pl-Boulder-CO-80304/13182429_zpid/,2150000
40.057926,-105.20314,6495 Barnacle Court,1536,https://www.zillow.com/homedetails/6495-Barnacle-Ct-Boulder-CO-80301/13200174_zpid/,299000
40.0599,-105.16876,4663 Greylock St,3244,https://www.zillow.com/homedetails/4663-Greylock-St-Boulder-CO-80301/13200263_zpid/,785000
40.03992,-105.39005,6186 Fourmile Canyon Dr,1826,https://www.zillow.com/homedetails/6186-Fourmile-Canyon-Dr-Boulder-CO-80302/13195715_zpid/,700000
40.007847,-105.215256,1183 Gapter Road,4060,https://www.zillow.com/homedetails/1183-Gapter-Rd-Boulder-CO-80303/82395221_zpid/,4400000
40.0716,-105.13833,5397 Lookout Ridge Dr,6138,https://www.zillow.com/homedetails/5397-Lookout-Ridge-Dr-Boulder-CO-80301/13242532_zpid/,1795000
40.07239,-105.18496,5390 Muirfield Ct,3472,https://www.zillow.com/homedetails/5390-Muirfield-Ct-Boulder-CO-80301/13244593_zpid/,1195000
39.9776,-105.25268,1190 Edinboro Dr,2146,https://www.zillow.com/homedetails/1190-Edinboro-Dr-Boulder-CO-80305/13186758_zpid/,1225000
40.07754,-105.35616,118 Overlook Lane,2016,https://www.zillow.com/homedetails/118-Overlook-Ln-Boulder-CO-80302/13191886_zpid/,1050000
